"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4728","checking for Browse available bikes link navigates to browse bike page","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1921","Verify Button Enabled when form valid","webkit","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1480","Verify search box placeholder in Courses page","firefox","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","2251","TC14 - Navigation check","firefox","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1154","Verify login for user amith@gmail.com","firefox","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","1133","Missing Special Character","firefox","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","36","API booking history retrieval without authentication shows error","chromium","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","2062","TC06 - Cart page opens","firefox","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1975","Missing Special Character","webkit","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","2003","TC04 - Verify total visible","firefox","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","1564","Verify search box placeholder in Courses page","chromium","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","1159","Verify multiple DOM elements exist","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2336","Verify Last Name Placeholder","webkit","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1839","checking for the functionality of second View all which navigates orders page","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1580","TC13 - Click proceed button","chromium","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","3987","TC07 - Clear cart and validate empty","webkit","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","1995","Verify login for user anjay@gmail.com","webkit","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","4248","checking sellBike button functionality","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1550","Verify navigation back to dashboard","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1189","Verify Submit Button Visible","firefox","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1590","checking logout button functionality","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1753","Verify selecting Business from dropdown","chromium","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","2367","TC08 - Remove course from cart","chromium","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1484","Validate heading","chromium","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","2022","Verify Business selection shows correct image","firefox","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","4544","checking for the functionality of second View all which navigates orders page","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","938","TC03 - Verify course title is displayed correctly","firefox","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","4736","checking for the second sell bike button","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1951","Missing Uppercase","webkit","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1899","Verify Submit Button Visible","webkit","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1728","TC19 - Validate required fields error","firefox","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","475","Verify password field is masked on Login page","chromium","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","1473","Verify Lumina logo","chromium","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1869","Verify Welcome back message is displayed on dashboard","chromium","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","2167","Valid Email","firefox","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1730","Verify login for user akash@gmail.com","webkit","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","2128","TC05 - Add course to cart","chromium","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1426","Short Password Error","chromium","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","884","Verify no crash on load","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1985","TC05 - Verify Pay button visible","chromium","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","8214","TC17 - Verify total amount text","webkit","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","1440","Missing Lowercase","chromium","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1553","Verify Courses page heading","firefox","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","1443","Verify clicking Courses in navbar navigates to Courses page","firefox","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","2075","Verify selecting Business shows ""Business Administration""","firefox","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","1912","checking Homepage Mylisting functional block","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1889","Verify login for user sanjay@gmail.com","webkit","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","9662","TC04 - Add to Cart button visible","webkit","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","7098","Verify selecting Mathematics shows ""Mathematics for Engineers""","webkit","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","3022","checking sellBike button functionality","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","907","Verify orders presence or empty state","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1589","Verify clicking ""Browse more"" navigates to Courses page","firefox","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","1213","has title","webkit","2026-03-30","passed","2026-03-30","","example.spec.js","",""
"","1874","Verify responsive view (mobile)","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","6959","TC05 - Verify Pay button visible","webkit","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","2380","checking for Active Chats functional block","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","4134","checking Contact button functionality","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","42","API booking history retrieval without authentication shows error","webkit","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1755","TC11 - Cart link visible","chromium","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","863","Verify page title","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1712","Verify user navigates to Dashboard after valid login","firefox","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","1969","TC07 - Clear cart and validate empty","chromium","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","2236","Valid Password","webkit","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1460","Verify Last Name Placeholder","chromium","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","2624","TC07 - Remove button visible","firefox","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1022","Create session and save login state","chromium","2026-03-30","passed","2026-03-30","","session.spec.js","",""
"","4270","checking for myorders functional block","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2063","checking Contact button functionality","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","3065","TC01 - Navigate to Courses page","firefox","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","35","API payment processing without authentication shows error","firefox","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1654","checking Estimator button functionality","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2026","checking for Browse available bikes link navigates to browse bike page","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1531","Verify navbar elements","firefox","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","473","TC03 - Verify course title is displayed correctly","chromium","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","6731","TC07 - Remove button visible","webkit","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1396","Short Password Error","firefox","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","6637","TC08 - Remove course from cart","webkit","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","2482","TC06 - Click Pay without data (validation)","firefox","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","1366","TC15 - Page loads successfully","chromium","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","6825","Verify selecting Arts from dropdown","webkit","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","1922","TC04 - Verify total visible","chromium","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","2457","Verify direct URL navigation works","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1336","Verify invalid login does not redirect","chromium","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","1899","Verify invalid login does not redirect","webkit","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","3889","API payment processing after booking","webkit","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1797","Verify Save Changes button is visible after clicking Edit","chromium","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","2460","TC17 - Verify total amount text","firefox","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","1834","Verify user navigates to Dashboard after valid login","chromium","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","1033","Verify page scroll works","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1269","Verify Button Enabled when form valid","firefox","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","2004","TC02 - Verify Back to curriculum navigation","webkit","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","2078","checking for the second sell bike button","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1383","checking for the functionality of first View all link","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2120","TC11 - Cart link visible","firefox","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1127","Verify page is visible","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","3420","TC06 - Cart page opens","webkit","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1950","TC02 - Verify Secure Checkout heading","chromium","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","40","API payment processing without authentication shows error","webkit","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1321","Verify login for user sanjay@gmail.com","chromium","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","2106","Verify selecting Arts from dropdown","firefox","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","1373","API booking creation with invalid data shows error","firefox","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1250","get started link","firefox","2026-03-30","passed","2026-03-30","","example.spec.js","",""
"","2407","Verify page title","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","12870","TC02 - View Details button visible","webkit","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","4845","TC14 - Navigation check","webkit","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1917","Verify Recent Payments section is visible and clickable","chromium","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","2416","checking Homepage Mylisting functional block","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2195","Verify First Name Placeholder","webkit","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","2033","TC07 - Verify user can login and add course to cart","chromium","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","2488","Apply Now navigation","webkit","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1173","TC04 - Verify About this course and What you’ll learn sections","webkit","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","542","Verify placeholder text on Login page","chromium","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","2375","Valid Email","chromium","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1386","TC03 - Verify course title is displayed correctly","webkit","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","1548","Verify clicking Courses in navbar navigates to Courses page","chromium","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","1323","API payment processing after booking","chromium","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","2430","Verify Courses page heading","webkit","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","35","API payment processing without authentication shows error","chromium","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","2061","TC13 - Click proceed button","firefox","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","935","Verify responsive view (mobile)","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1318","checking Contact button functionality","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2161","Verify orders presence or empty state","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1896","Verify First Name Placeholder","firefox","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","3361","Verify clicking ""Browse more"" navigates to Courses page","webkit","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","36","API booking history retrieval without authentication shows error","firefox","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","3986","Verify Save Changes button is visible after clicking Edit","webkit","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","6451","checking sellBike button functionality","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","4329","checking Messages button functionality","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1580","Verify Last Name Placeholder","firefox","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","871","Verify page scroll works","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2204","TC05 - Verify Pay button visible","firefox","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","944","Verify responsive view (mobile)","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1717","checking for Browse available bikes link navigates to browse bike page","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1857","TC04 - Verify About this course and What you’ll learn sections","firefox","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","1251","checking My Orders button functionality","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","875","Verify login button is visible","firefox","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","1339","checking for the second sell bike button","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1752","TC15 - Page loads successfully","firefox","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1657","Valid Phone Number","firefox","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1917","Verify navigation after submit","firefox","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1364","Verify login for user sanjay@gmail.com","firefox","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","1483","get started link","webkit","2026-03-30","passed","2026-03-30","","example.spec.js","",""
"","440","TC01 - Verify course title is displayed","chromium","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","8357","TC05 - Add course to cart","webkit","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","6831","TC04 - Verify total visible","webkit","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","1555","Verify navbar elements","chromium","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","1784","checking Messages button functionality","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1137","Verify orders presence or empty state","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2363","TC07 - Verify user can login and add course to cart","firefox","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","1593","Verify login for user akash@gmail.com","firefox","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","823","TC02 - Verify Back to curriculum navigation","firefox","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","2050","Verify Recent Payments section is visible and clickable","firefox","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","726","Verify placeholder text on Login page","firefox","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","2191","checking Messages button functionality","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","3065","Valid Email","webkit","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","2543","Back to Sign In navigation","webkit","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","2418","Verify page is visible","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1318","Verify login for user akash@gmail.com","chromium","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","4618","checking logout button functionality","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2030","Verify Save Changes button is visible after clicking Edit","firefox","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","6311","TC01 - Navigate to payment page","webkit","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","1968","Verify selecting Mathematics shows ""Mathematics for Engineers""","chromium","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","2210","Valid Phone Number","webkit","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","2044","Short Password Error","webkit","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1142","Verify Lumina logo","firefox","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","868","checking for the logo visibility","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1268","Verify user stays logged in","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1490","TC06 - Verify navigation from Sign In to Welcome Back page","webkit","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","2241","Verify navigation back to dashboard","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1608","TC12 - Proceed button visible (safe)","chromium","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1191","Valid Password","firefox","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1469","Valid Phone Number","chromium","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","2161","Verify page scroll works","webkit","2026-03-30","failed","2026-03-30","","dashboard.spec.js","",""
"","4228","checking for the functionality of first View all link","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","3927","checking for Active Chats functional block","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1679","Validate heading","firefox","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","7861","Verify selecting Business shows ""Business Administration""","webkit","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","1349","checking for Active Chats functional block","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1798","Verify no console errors (basic)","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","3075","TC02 - View Details button visible","firefox","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1996","TC12 - Proceed button visible (safe)","firefox","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","9921","TC03 - Open course details page","webkit","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1156","Verify page title","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1730","Verify error messages on empty login submission","webkit","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","969","Verify direct URL navigation works","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","4311","checking My Orders button functionality","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","6072","TC18 - Validate card number length error","webkit","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","4402","checking Browse bike functionality","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","4448","checking Homepage Mylisting functional block","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","3105","checking Estimator button functionality","webkit","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2380","Verify Welcome back message is displayed on dashboard","webkit","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","2377","Verify navigation after submit","chromium","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","2045","API booking history retrieval after login","firefox","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1697","TC14 - Navigation check","chromium","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","6994","Verify Business selection shows correct image","webkit","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","7232","TC06 - Click Pay without data (validation)","webkit","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","1279","TC01 - Verify course title is displayed","webkit","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","1257","checking Estimator button functionality","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2711","TC16 - Payment page UI text","firefox","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","575","TC02 - Verify Back to curriculum navigation","chromium","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","1072","Verify no crash on load","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1866","Verify selecting Mathematics shows ""Mathematics for Engineers""","firefox","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
